name,description,styleUrl,icon-opacity,icon-color,icon-scale,icon-offset,icon-offset-units,icon,lon,lat,gx_media_links
"24M Technologies, Inc.",Lithium ion cell manufacturing | https://24-m.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-71.1046328,42.3603899,
75F (US),Energy-efficient building management | https://www.75f.io/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-93.3009699,44.8557216,
Actual ,"Sustainability planning platform | https://www.actualhq.com/ |  Remote work options: Yes, Remote-first US-based",#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-122.2672822,37.8112162,
"The Ad Hoc Group, Inc",https://www.theadhocgroup.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-77.0451575,38.8151457,
AENU,VC firm | early stage climate tech,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,13.4073073,52.5298795,
Aera VC,VC firm focussed on early-growth in deeptech | https://www.aera.vc/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,174.7665537,-36.8461726,
AeroFarms,"Precision, Vertical and Indoor Farming | https://www.aerofarms.com/ | Note: AeroFarms filed for bankruptcy in June 2023",#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-74.1405207,40.7270889,
AeroSeal (Miamisburg OH),[object Object],#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-84.235901,39.636898,
"Aeroseal (HQ, Dayton)",[object Object],#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-84.1225519,39.6534998,
Afresh Technologies,Waste reduction in fresh food supply chain | https://www.afresh.com/ | Remote work options: yes,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-122.4004474,37.7870868,
AgFunder,VC firm investing in food and agriculture |,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-122.4067089,37.78451,
Ahren Innovation Capital,VC firm specializing in deep tech | https://www.ahreninnovationcapital.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-93.3719283,45.0274884,
AiiM Partners,VC firm specializing in climate tech with an emphasis on equity and access | https://www.aiimpartners.com/hiring,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-122.1440457,37.4259592,
"Air Protein (Pleasanton, HQ)",https://climatebase.org/company/6679/air-protein,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-121.8661343,37.6727441,
Air Protein (San Leandro),,#icon-1899-0288D1-nodesc,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-122.1792441,37.7120855,
Alante Capital,VC firm specializing in sustainable apparel | https://www.alantecapital.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-122.1355643,37.6983631,
Aligned Climate Capital (CA),VC firm,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-118.342838,34.1526742,
Aligned Climate Capital (NY),VC firm,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-73.9864149,40.7425604,
Advanced Energy Economy,https://climatebase.org/company/22308/advanced-energy-economy,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-77.033715,38.90308,
Amasia,Sustainability and climate VC firm | https://amasia.vc/ | Portfolio companies: https://amasia.vc/portfolio | ,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-122.3457635,37.5798242,
Amazon Watch,https://climatebase.org/company/15052/amazon-watch | Environmental Justice,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-122.2775288,37.7978175,
Amazon Watch (DC),https://climatebase.org/company/15052/amazon-watch,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-77.0341755,38.9041519,
Andes Ag (Emeryville CA),soil-based carbon sequestration | https://www.andes.bio/careers,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-122.2903203,37.8301563,
Anthropocene Institute,https://climatebase.org/company/4532/anthropocene-institute Remote work options: Yes. ,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-122.1576188,37.4384779,
"Antora Energy, Inc.",Thermal energy storage for heavy industry elecrification | https://antoraenergy.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-121.987859,37.404843,
AP Ventures LLP,VC firm specializing in hydrogen-based technologies | Portfolio companies: https://apventures.com/portfolio,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-0.1403868,51.5082829,
Arbol Insurance,Parametric insurance platform and climate Intelligence for ag and energy businesses | https://www.arbol.io,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-73.9705667,40.7610924,
Arborview Capital,VC firm specializing in sustainability | https://www.arborviewcapital.com/ | Portfolio companies job board: https://arborview.getro.com/companies,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-77.0852801,38.9623237,
Arcadia,"Energy usage, cost and utility data platform | https://www.arcadia.com/ |  Remote work options: Yes. ",#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-77.0264518,38.8967861,
ArcTern Ventures (Norway),VC firm specializing in climate change and sustainability | https://www.arcternventures.com/careers/#arctern-careers | Portfolio companies jobs board: https://arcternventures.getro.com/jobs,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,10.7270427,59.909962,
ArcTern Ventures (Canada),VC firm specializing in climate change and sustainability | https://www.arcternventures.com/careers/#arctern-careers | Portfolio companies jobs board: https://arcternventures.getro.com/jobs,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-79.388831,43.6599451,
Arrival,"Electric cars, vans and trucks",#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-0.2041019,51.4925074,
Artyc,Refrigerant-free cold chain logistics | https://www.shipartyc.com/ | Remote work options: Yes,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-122.3114094,37.5542215,
Aspiration,,#icon-1899-0288D1-nodesc,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-118.4517449,33.9802893,
Asset Resolution,https://climatebase.org/company/26469/asset-resolution | Remote Work Options: Yes,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2.2921401,48.8774828,
Astanor Ventures,"VC firm (Food systems, Ag) | https://astanor.com/ Portfolio companies list: https://astanor.com/entrepreneurs/",#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,4.3802052,50.8260453,
Atomo Coffee Inc,[object Object],#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-122.3415875,47.6083904,
Avesta Fund,VC firm specializing in seed funding for climate tech and sustainability | https://www.avesta.fund/ | List of portfolio companies: https://www.avesta.fund/portfolio,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-104.8813559,39.7517813,
Azavea (pt of Element 84),[object Object],#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-75.1541276,39.961265,
Azolla Ventures,VC firm investing early state in climate tech| https://azollaventures.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-71.1031199,42.3658086,
BeZero Carbon,[object Object],#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-0.0919908,51.5243907,
Bird (CA),https://climatebase.org/company/305/bird | Remote Work Options: Yes,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-118.4932084,34.0150917,
